n,comparacoes,trocas
10,45,45
20,190,190
30,435,435
40,780,780
50,1225,1225
60,1770,1770
70,2415,2415
80,3160,3160
90,4005,4005
100,4950,4950
110,5995,5995
120,7140,7140
130,8385,8385
140,9730,9730
150,11175,11175
160,12720,12720
170,14365,14365
180,16110,16110
190,17955,17955
200,19900,19900
210,21945,21945
220,24090,24090
230,26335,26335
240,28680,28680
250,31125,31125
260,33670,33670
270,36315,36315
280,39060,39060
290,41905,41905
300,44850,44850
310,47895,47895
320,51040,51040
330,54285,54285
340,57630,57630
350,61075,61075
360,64620,64620
370,68265,68265
380,72010,72010
390,75855,75855
400,79800,79800
410,83845,83845
420,87990,87990
430,92235,92235
440,96580,96580
450,101025,101025
460,105570,105570
470,110215,110215
480,114960,114960
490,119805,119805
500,124750,124750
510,129795,129795
520,134940,134940
530,140185,140185
540,145530,145530
550,150975,150975
560,156520,156520
570,162165,162165
580,167910,167910
590,173755,173755
600,179700,179700
610,185745,185745
620,191890,191890
630,198135,198135
640,204480,204480
650,210925,210925
660,217470,217470
670,224115,224115
680,230860,230860
690,237705,237705
700,244650,244650
710,251695,251695
720,258840,258840
730,266085,266085
740,273430,273430
750,280875,280875
760,288420,288420
770,296065,296065
780,303810,303810
790,311655,311655
800,319600,319600
810,327645,327645
820,335790,335790
830,344035,344035
840,352380,352380
850,360825,360825
860,369370,369370
870,378015,378015
880,386760,386760
890,395605,395605
900,404550,404550
910,413595,413595
920,422740,422740
930,431985,431985
940,441330,441330
950,450775,450775
960,460320,460320
970,469965,469965
980,479710,479710
990,489555,489555
1000,499500,499500
